character	code_point	kMandarin17	CNS11643	policy
尶	U+5C36	gān	gān jiān	kMandarin17 retained
尷	U+5C37	gān	gān jiān	kMandarin17 retained
尺	U+5C3A	chǐ	chí chǐ chě	kMandarin17 retained
尽	U+5C3D	jǐn	jǐn jìn	kMandarin17 retained
尾	U+5C3E	wěi	yǐ wěi	kMandarin17 retained
居	U+5C45	jū	jī jū	kMandarin17 retained
屇	U+5C47	tián	tiān tián	kMandarin17 retained
屉	U+5C49	tì	tì xiè	kMandarin17 retained
届	U+5C4A	jiè	jiè qū	kMandarin17 retained
屎	U+5C4E	shǐ	xī shǐ	kMandarin17 retained
屏	U+5C4F	píng	bīng bǐng píng	kMandarin17 retained
屓	U+5C53	xiè	bì méi xì xiè	kMandarin17 retained
屗	U+5C57	wěi	mān	kMandarin17 retained
屘	U+5C58	mǎn	mān	kMandarin17 retained
屛	U+5C5B	píng	bīng bǐng píng	kMandarin17 retained
属	U+5C5E	shǔ	zhǔ shǔ	kMandarin17 retained
屟	U+5C5F	xiè	dié tì xiè	kMandarin17 retained
屠	U+5C60	tú	tú chú	kMandarin17 retained
屩	U+5C69	juē	jué	kMandarin17 retained
屬	U+5C6C	shǔ	zhǔ shǔ	kMandarin17 retained
屯	U+5C6F	tún	tún zhūn	kMandarin17 retained
屰	U+5C70	nì	pò nì jǐ	kMandarin17 retained
屶	U+5C76	huì	dāo	kMandarin17 retained
屸	U+5C78	lóng	lóng hóng	kMandarin17 retained
屽	U+5C7D	hàn	hàn àn	kMandarin17 retained
岅	U+5C85	bǎn	bǎn zé	kMandarin17 retained
岈	U+5C88	yá	xiā	kMandarin17 retained
岎	U+5C8E	fén	fēn fén chà	kMandarin17 retained
岔	U+5C94	chà	chá chà	kMandarin17 retained
岗	U+5C97	gǎng	gāng	kMandarin17 retained
岙	U+5C99	ào	yǎo	kMandarin17 retained
岝	U+5C9D	zuò	zé	kMandarin17 retained
岞	U+5C9E	zuò	zé zuó	kMandarin17 retained
岡	U+5CA1	gāng	gāng gǎng	kMandarin17 retained
岤	U+5CA4	xué	xuè	kMandarin17 retained
岥	U+5CA5	pō	bō	kMandarin17 retained
岨	U+5CA8	qū	jǔ qū zǔ	kMandarin17 retained
岭	U+5CAD	lǐng	líng	kMandarin17 retained
岯	U+5CAF	pí	pēi	kMandarin17 retained
岰	U+5CB0	ào	yǒu	kMandarin17 retained
岲	U+5CB2	kuàng	huàng	kMandarin17 retained
岿	U+5CBF	kuī	kuī kuǐ kuì	kMandarin17 retained
峀	U+5CC0	xiù	bāng	kMandarin17 retained
峆	U+5CC6	hé	hē hé	kMandarin17 retained
峇	U+5CC7	bā	bā kē	kMandarin17 retained
峉	U+5CC9	è	ē	kMandarin17 retained
峎	U+5CCE	ěn	lǎng ěn	kMandarin17 retained
峏	U+5CCF	ér	ér ěr	kMandarin17 retained
峑	U+5CD1	quān	jì	kMandarin17 retained
峒	U+5CD2	dòng	dòng tóng	kMandarin17 retained
峗	U+5CD7	wéi	wéi wěi	kMandarin17 retained
峘	U+5CD8	huán	hū huán	kMandarin17 retained
峛	U+5CDB	liè	lǐ	kMandarin17 retained
峜	U+5CDC	jì	quān	kMandarin17 retained
峝	U+5CDD	tóng	dòng tóng	kMandarin17 retained
峞	U+5CDE	wéi	kuǐ wéi	kMandarin17 retained
峠	U+5CE0	qiǎ	gǔ	kMandarin17 retained
峤	U+5CE4	jiào	jiào qiáo	kMandarin17 retained
峥	U+5CE5	zhēng	zhēng chéng	kMandarin17 retained
峫	U+5CEB	xié	xié yé	kMandarin17 retained
峵	U+5CF5	róng	hóng róng	kMandarin17 retained
峼	U+5CFC	gào	hào	kMandarin17 retained
崀	U+5D00	làng	láng lǎng	kMandarin17 retained
崁	U+5D01	kàn	kǎn	kMandarin17 retained
崄	U+5D04	xiǎn	xiǎn yǎn	kMandarin17 retained
崋	U+5D0B	huà	huá huà	kMandarin17 retained
崕	U+5D15	yá	ái yá yái	kMandarin17 retained
崖	U+5D16	yá	yái	kMandarin17 retained
崗	U+5D17	gǎng	gāng gǎng	kMandarin17 retained
崝	U+5D1D	zhēng	zhēng chēng chéng	kMandarin17 retained
崢	U+5D22	zhēng	zhēng chéng	kMandarin17 retained
崤	U+5D24	xiáo	yáo	kMandarin17 retained
崥	U+5D25	pí	bǐ pí pǐ	kMandarin17 retained
崫	U+5D2B	kū	kū jué	kMandarin17 retained
崭	U+5D2D	zhǎn	zhǎn chán	kMandarin17 retained
崴	U+5D34	wǎi	wēi	kMandarin17 retained
崸	U+5D38	yáng	dùn	kMandarin17 retained
崾	U+5D3E	yào	yǎo	kMandarin17 retained
嵅	U+5D45	hán	gān gàn	kMandarin17 retained
嵈	U+5D48	huàn	guǎn	kMandarin17 retained
嵌	U+5D4C	qiàn	kǎn qiān qiàn	kMandarin17 retained
嵍	U+5D4D	wù	máo wù	kMandarin17 retained
嵑	U+5D51	kě	kě jié jué	kMandarin17 retained
嵔	U+5D54	wěi	wēi wěi	kMandarin17 retained
嵖	U+5D56	chá	cuó	kMandarin17 retained
嵜	U+5D5C	qí	qī qí qǐ	kMandarin17 retained
嵠	U+5D60	xī	qī xī	kMandarin17 retained
嵣	U+5D63	dàng	dāng dàng táng	kMandarin17 retained
嵤	U+5D64	róng	hóng róng yíng	kMandarin17 retained
嵦	U+5D66	kǎi	kǎi ái	kMandarin17 retained
嵨	U+5D68	wù	wǔ	kMandarin17 retained
嵪	U+5D6A	qiāo	kāo qiāo	kMandarin17 retained
嵱	U+5D71	yǒng	yóng	kMandarin17 retained
嵷	U+5D77	sǒng	zōng	kMandarin17 retained
嶃	U+5D83	zhǎn	zhǎn chán	kMandarin17 retained
嶄	U+5D84	zhǎn	zhǎn chán	kMandarin17 retained
嶉	U+5D89	cuī	zuī zuǐ	kMandarin17 retained
嶎	U+5D8E	yù	wèi	kMandarin17 retained
嶏	U+5D8F	pèi	pèi pǐ	kMandarin17 retained
嶖	U+5D96	yān	yān yǎn	kMandarin17 retained
嶜	U+5D9C	jīn	jīn qín	kMandarin17 retained
嶡	U+5DA1	guì	guì jué	kMandarin17 retained
嶣	U+5DA3	jiāo	jiāo qiáo	kMandarin17 retained
嶦	U+5DA6	shàn	zhān shàn	kMandarin17 retained
嶨	U+5DA8	xué	hú què xuē xué	kMandarin17 retained
嶬	U+5DAC	yí	yī yí yǐ wéi	kMandarin17 retained
嶭	U+5DAD	niè	è	kMandarin17 retained
嶲	U+5DB2	xī	suǐ	kMandarin17 retained
嶳	U+5DB3	dì	de dì	kMandarin17 retained
嶵	U+5DB5	zuǐ	zuì	kMandarin17 retained
嶶	U+5DB6	wēi	wéi	kMandarin17 retained
嶷	U+5DB7	yí	nì yí	kMandarin17 retained
嶸	U+5DB8	róng	hóng róng	kMandarin17 retained
嶻	U+5DBB	jié	jié zá	kMandarin17 retained
嶿	U+5DBF	ru	rú	kMandarin17 retained
巀	U+5DC0	jié	jié zá	kMandarin17 retained
巁	U+5DC1	lì	lì liè	kMandarin17 retained
巂	U+5DC2	guī	xī suǐ	kMandarin17 retained
巆	U+5DC6	róng	hóng róng yíng	kMandarin17 retained
巍	U+5DCD	wēi	wéi	kMandarin17 retained
巙	U+5DD9	kuí	náo kuí	kMandarin17 retained
巛	U+5DDB	chuān	kūn chuān shùn	kMandarin17 retained
巜	U+5DDC	kuài	guài kuài	kMandarin17 retained
巫	U+5DEB	wū	wū wú	kMandarin17 retained
巬	U+5DEC	pu	pū	kMandarin17 retained
巭	U+5DED	pu	pū	kMandarin17 retained
差	U+5DEE	chà	chā chà chāi chài cī cuō	kMandarin17 retained
巰	U+5DF0	qiú	liú qiú	kMandarin17 retained
巶	U+5DF6	zhāo	zhāo shào	kMandarin17 retained
巺	U+5DFA	xùn	xùn sùn	kMandarin17 retained
巻	U+5DFB	juàn	juǎn juàn quán	kMandarin17 retained
巽	U+5DFD	xùn	xùn sùn	kMandarin17 retained
币	U+5E01	bì	bì yìn	kMandarin17 retained
帆	U+5E06	fān	fān fán	kMandarin17 retained
帑	U+5E11	tǎng	tǎng nú	kMandarin17 retained
帖	U+5E16	tiē	tiē tiě tiè	kMandarin17 retained
帗	U+5E17	bō	fú	kMandarin17 retained
帞	U+5E1E	mò	bó pà mò	kMandarin17 retained
帣	U+5E23	juǎn	juǎn juàn	kMandarin17 retained
帥	U+5E25	shuài	shuò shuài	kMandarin17 retained
帧	U+5E27	zhēn	zhèng	kMandarin17 retained
帬	U+5E2C	qún	jūn qún	kMandarin17 retained
帰	U+5E30	guī	guī kuì	kMandarin17 retained
帱	U+5E31	chóu	dào chóu	kMandarin17 retained
帴	U+5E34	sàn	jiǎn cán	kMandarin17 retained
帹	U+5E39	shà	qiè shà	kMandarin17 retained
帺	U+5E3A	qí	jì qí	kMandarin17 retained
帻	U+5E3B	zé	zé cè	kMandarin17 retained
幂	U+5E42	mì	mì mù	kMandarin17 retained
幆	U+5E46	yì	kài yì	kMandarin17 retained
幈	U+5E48	píng	bīng bǐng píng	kMandarin17 retained
幍	U+5E4D	tāo	dāo tāo qià	kMandarin17 retained
幏	U+5E4F	jià	jiā jià	kMandarin17 retained
幒	U+5E52	zhōng	zhōng cǒng	kMandarin17 retained
幓	U+5E53	shān	shān shēn cāo sēn	kMandarin17 retained
幕	U+5E55	mù	mò mù	kMandarin17 retained
幜	U+5E5C	jǐng	jiǒng	kMandarin17 retained
幞	U+5E5E	fú	pú	kMandarin17 retained
幢	U+5E62	chuáng	zhuàng chuáng	kMandarin17 retained
幥	U+5E65	zhǎng	zhāng	kMandarin17 retained
幧	U+5E67	qiāo	qiāo cāo	kMandarin17 retained
幪	U+5E6A	méng	méng měng	kMandarin17 retained
幬	U+5E6C	chóu	dào chóu	kMandarin17 retained
幯	U+5E6F	jié	jiē jié	kMandarin17 retained
干	U+5E72	gàn	gān	kMandarin17 retained
平	U+5E73	píng	pián píng	kMandarin17 retained
并	U+5E76	bìng	bīng bìng	kMandarin17 retained
幷	U+5E77	bìng	bīng bìng	kMandarin17 retained
幹	U+5E79	gàn	gàn hán	kMandarin17 retained
幺	U+5E7A	yāo	má ma mó mo mì sī yāo	kMandarin17 retained
幾	U+5E7E	jǐ	jī jǐ	kMandarin17 retained
广	U+5E7F	guǎng	yǎn	kMandarin17 retained
庅	U+5E85	mó	má mó	kMandarin17 retained
庆	U+5E86	qìng	qīng qìng	kMandarin17 retained
庉	U+5E89	dùn	dùn tún	kMandarin17 retained
庋	U+5E8B	guǐ	guǐ jǐ	kMandarin17 retained
庍	U+5E8D	bài	bài tīng xìn	kMandarin17 retained
庑	U+5E91	wǔ	wú wǔ	kMandarin17 retained
应	U+5E94	yīng	yīng yìng	kMandarin17 retained
底	U+5E95	dǐ	de dǐ	kMandarin17 retained
庛	U+5E9B	cì	cī cì	kMandarin17 retained
庞	U+5E9E	páng	páng lóng	kMandarin17 retained
度	U+5EA6	dù	dù duò	kMandarin17 retained
庨	U+5EA8	xiāo	qiāo xiāo	kMandarin17 retained
庩	U+5EA9	tú	tū	kMandarin17 retained
庫	U+5EAB	kù	kù shè	kMandarin17 retained
庬	U+5EAC	máng	páng máng měng	kMandarin17 retained
庰	U+5EB0	bìng	bǐng bìng	kMandarin17 retained
庳	U+5EB3	bì	bēi bì	kMandarin17 retained
庸	U+5EB8	yōng	yōng yóng	kMandarin17 retained
庼	U+5EBC	qǐng	qīng qǐng qìng	kMandarin17 retained
廀	U+5EC0	sōu	sōu sǒu sòu	kMandarin17 retained
廁	U+5EC1	cè	cì cè sì	kMandarin17 retained
廅	U+5EC5	è	hé è	kMandarin17 retained
廆	U+5EC6	wěi	guī huì wěi	kMandarin17 retained
廈	U+5EC8	shà	xià shà	kMandarin17 retained
廏	U+5ECF	jiù	jì jiù	kMandarin17 retained
廐	U+5ED0	jiù	jì jiù	kMandarin17 retained
廑	U+5ED1	jǐn	jǐn jìn qín	kMandarin17 retained
廜	U+5EDC	tú	tū	kMandarin17 retained
廞	U+5EDE	xīn	qīn	kMandarin17 retained
廨	U+5EE8	xiè	jiè xiè	kMandarin17 retained
廭	U+5EED	jì	jī	kMandarin17 retained
廮	U+5EEE	yǐng	yíng yǐng	kMandarin17 retained
廹	U+5EF9	pǎi	pò	kMandarin17 retained
开	U+5F00	kāi	bìng kāi jiān qí yán	kMandarin17 retained
弁	U+5F01	biàn	biàn pán	kMandarin17 retained
异	U+5F02	yì	yí yì	kMandarin17 retained
弄	U+5F04	nòng	nòng lòng	kMandarin17 retained
弅	U+5F05	fèn	fén fèn	kMandarin17 retained
弌	U+5F0C	yī	yī yí yì	kMandarin17 retained
弎	U+5F0E	sān	sā sān sàn	kMandarin17 retained
弐	U+5F10	èr	sān	kMandarin17 retained
弛	U+5F1B	chí	chí shǐ	kMandarin17 retained
弜	U+5F1C	jiàng	jiàng qí	kMandarin17 retained
弞	U+5F1E	shěn	shěn yǐn	kMandarin17 retained
弟	U+5F1F	dì	dì tì	kMandarin17 retained
弥	U+5F25	mí	mí mǐ	kMandarin17 retained
弲	U+5F32	xuān	xuān yuān	kMandarin17 retained
弴	U+5F34	diāo	diāo dūn	kMandarin17 retained
張	U+5F35	zhāng	zhāng zhàng	kMandarin17 retained
強	U+5F37	qiáng	jiàng qiāng qiáng qiǎng	kMandarin17 retained
弸	U+5F38	péng	bēng péng	kMandarin17 retained
弹	U+5F39	dàn	dàn tán	kMandarin17 retained
强	U+5F3A	qiáng	jiàng qiáng qiǎng	kMandarin17 retained
弽	U+5F3D	shè	xiè shè yè	kMandarin17 retained
弾	U+5F3E	dàn	dàn tán	kMandarin17 retained
彈	U+5F48	dàn	dàn tán	kMandarin17 retained
彉	U+5F49	guō	kuò	kMandarin17 retained
彊	U+5F4A	jiàng	jiàng qiáng qiǎng	kMandarin17 retained
彍	U+5F4D	guō	kuò héng huò huáng	kMandarin17 retained
归	U+5F52	guī	guī kuì	kMandarin17 retained
当	U+5F53	dāng	dāng dǎng dàng	kMandarin17 retained
彠	U+5F60	yuē	huò	kMandarin17 retained
彡	U+5F61	shān	xiān shān	kMandarin17 retained
彣	U+5F63	wén	wén wèn	kMandarin17 retained
彲	U+5F72	chī	lí chī	kMandarin17 retained
彴	U+5F74	zhuó	bó zhuó	kMandarin17 retained
彵	U+5F75	tuǒ	tuó	kMandarin17 retained
彷	U+5F77	páng	páng fǎng	kMandarin17 retained
彽	U+5F7D	dī	dī chí	kMandarin17 retained
彾	U+5F7E	líng	líng lǐng	kMandarin17 retained
待	U+5F85	dài	dāi dài	kMandarin17 retained
徇	U+5F87	xùn	xún xùn	kMandarin17 retained
徊	U+5F8A	huái	huái huí	kMandarin17 retained
徍	U+5F8D	wǎng	wā	kMandarin17 retained
徎	U+5F8E	chěng	zhèng chěng	kMandarin17 retained
徏	U+5F8F	zhì	bù zhì	kMandarin17 retained
従	U+5F93	cóng	zōng zòng cōng cóng	kMandarin17 retained
徔	U+5F94	zhi	cóng	kMandarin17 retained
得	U+5F97	dé	dé de dǎi děi	kMandarin17 retained
徚	U+5F9A	dōng	liàn	kMandarin17 retained
從	U+5F9E	cóng	zōng zòng cōng cóng	kMandarin17 retained
徠	U+5FA0	lái	lái lài	kMandarin17 retained
御	U+5FA1	yù	yà yù	kMandarin17 retained
徧	U+5FA7	biàn	biàn piàn	kMandarin17 retained
復	U+5FA9	fù	fòu fù	kMandarin17 retained
徬	U+5FAC	páng	bàng páng	kMandarin17 retained
微	U+5FAE	wēi	wēi wéi	kMandarin17 retained
徱	U+5FB1	piào	biāo piāo piào	kMandarin17 retained
徲	U+5FB2	tí	chí	kMandarin17 retained
徴	U+5FB4	zhēng	zhǐ zhēng	kMandarin17 retained
徵	U+5FB5	zhǐ	zhǐ zhēng	kMandarin17 retained
徸	U+5FB8	chōng	dòng zhōng zhǒng chòng	kMandarin17 retained
徺	U+5FBA	jiǎo	jiǎo yáo	kMandarin17 retained
徻	U+5FBB	huì	wèi	kMandarin17 retained
徼	U+5FBC	jiào	jiāo jiǎo jiào yāo	kMandarin17 retained
徿	U+5FBF	lòng	lǒng lòng	kMandarin17 retained
忄	U+5FC4	xin	xīn	kMandarin17 retained
忊	U+5FCA	dìng	dìng tìng	kMandarin17 retained
忏	U+5FCF	chàn	qiān qiǎn chàn	kMandarin17 retained
忓	U+5FD3	gān	gān hàn	kMandarin17 retained
忔	U+5FD4	qì	qì yì	kMandarin17 retained
忕	U+5FD5	shì	tài shì	kMandarin17 retained
忘	U+5FD8	wàng	wáng wàng	kMandarin17 retained
忚	U+5FDA	xī	liě xī	kMandarin17 retained
忛	U+5FDB	fān	fān fán	kMandarin17 retained
応	U+5FDC	yīng	yīng yìng	kMandarin17 retained
忟	U+5FDF	wěn	mín	kMandarin17 retained
忧	U+5FE7	yōu	yōu yòu	kMandarin17 retained
忪	U+5FEA	sōng	zhōng sōng	kMandarin17 retained
忬	U+5FEC	yù	shū yù	kMandarin17 retained
忲	U+5FF2	tài	tài shì	kMandarin17 retained
忴	U+5FF4	qián	qián qín	kMandarin17 retained
忹	U+5FF9	kuáng	kuáng wǎng	kMandarin17 retained
忼	U+5FFC	kāng	kāng kǎng	kMandarin17 retained
忾	U+5FFE	kài	kài qì xī xì yì	kMandarin17 retained
怀	U+6000	huái	fù huái	kMandarin17 retained
怌	U+600C	pēi	pēi pī huái	kMandarin17 retained
怎	U+600E	zěn	zě zěn	kMandarin17 retained
怐	U+6010	jù	kòu	kMandarin17 retained
怔	U+6014	zhēng	lèng zhēng	kMandarin17 retained
怗	U+6017	tiē	tiē zhān	kMandarin17 retained
怘	U+6018	hù	gù hù	kMandarin17 retained
怜	U+601C	lián	lián líng	kMandarin17 retained
思	U+601D	sī	sī sì sāi	kMandarin17 retained
怞	U+601E	chóu	zhòu chóu yóu	kMandarin17 retained
怢	U+6022	tū	tú	kMandarin17 retained
怨	U+6028	yuàn	yuān yuàn	kMandarin17 retained
怫	U+602B	fú	bèi fèi fú	kMandarin17 retained
怬	U+602C	xì	xì sì	kMandarin17 retained
怯	U+602F	qiè	qiè què	kMandarin17 retained
怶	U+6036	bì	bì pī	kMandarin17 retained
怷	U+6037	shù	xī shù	kMandarin17 retained
怸	U+6038	xī	xī xí	kMandarin17 retained
总	U+603B	zǒng	zōng zǒng	kMandarin17 retained
怽	U+603D	mo	mò mí	kMandarin17 retained
恀	U+6040	shì	chǐ shì	kMandarin17 retained
恁	U+6041	nèn	nín rèn	kMandarin17 retained
恄	U+6044	xì	xī xì	kMandarin17 retained
恈	U+6048	móu	mú	kMandarin17 retained
恔	U+6054	jiǎo	xiào	kMandarin17 retained
恖	U+6056	sī	sī sì sāi	kMandarin17 retained
恗	U+6057	hū	kuā hū xū	kMandarin17 retained
恣	U+6063	zì	zī zì cī	kMandarin17 retained
恦	U+6066	shàng	xiàng	kMandarin17 retained
恪	U+606A	kè	kè què	kMandarin17 retained
恫	U+606B	dòng	dòng tōng	kMandarin17 retained
恮	U+606E	quān	quán	kMandarin17 retained
息	U+606F	xī	xí	kMandarin17 retained
恶	U+6076	è	ě è	kMandarin17 retained
恷	U+6077	xiao	xiāo	kMandarin17 retained
悁	U+6081	yuān	juān juàn	kMandarin17 retained
悂	U+6082	pī	bī pī pǐ	kMandarin17 retained
悄	U+6084	qiāo	qiǎo	kMandarin17 retained
悆	U+6086	yù	shū yù	kMandarin17 retained
悊	U+608A	zhé	qī zhé	kMandarin17 retained
悓	U+6093	qiàn	ní jiàn qiàn xiàn	kMandarin17 retained
悖	U+6096	bèi	bó bèi	kMandarin17 retained
悗	U+6097	mán	mán měn	kMandarin17 retained
悘	U+6098	yī	yī yì	kMandarin17 retained
悙	U+6099	hēng	hēng hèng	kMandarin17 retained
悚	U+609A	sǒng	sóng sǒng	kMandarin17 retained
悥	U+60A5	yì	niàn yì	kMandarin17 retained
悪	U+60AA	è	ě è wū wù	kMandarin17 retained
悶	U+60B6	mèn	mēn mèn	kMandarin17 retained
悹	U+60B9	guàn	guǎn guàn	kMandarin17 retained
悾	U+60BE	kōng	kōng kǒng	kMandarin17 retained
惀	U+60C0	lún	lún lùn	kMandarin17 retained
惃	U+60C3	gǔn	gūn kūn	kMandarin17 retained
惉	U+60C9	zhān	zhān chān	kMandarin17 retained
惊	U+60CA	jīng	liáng liàng hèn jīng	kMandarin17 retained
惋	U+60CB	wǎn	wàn	kMandarin17 retained
惏	U+60CF	lán	lán lín	kMandarin17 retained
惐	U+60D0	yù	xù yù	kMandarin17 retained
惒	U+60D2	hé	hé hè hàn hú huò huo	kMandarin17 retained
惛	U+60DB	hūn	mèn hūn	kMandarin17 retained
惜	U+60DC	xī	xí	kMandarin17 retained
惝	U+60DD	chǎng	tǎng chǎng	kMandarin17 retained
惡	U+60E1	è	ě è wū wù	kMandarin17 retained
惤	U+60E4	jiān	jiān xián	kMandarin17 retained
惥	U+60E5	yǒng	yú yǒng	kMandarin17 retained
惩	U+60E9	chéng	chéng chěng	kMandarin17 retained
惮	U+60EE	dàn	dān dàn	kMandarin17 retained
惺	U+60FA	xīng	xīng xǐng	kMandarin17 retained
惽	U+60FD	mǐn	mèn hūn	kMandarin17 retained
愀	U+6100	qiǎo	jiǔ qiǎo	kMandarin17 retained
愂	U+6102	bèi	bó bèi	kMandarin17 retained
愒	U+6112	kài	kài qì	kMandarin17 retained
愓	U+6113	dàng	shāng	kMandarin17 retained
愖	U+6116	chén	dān chén	kMandarin17 retained
愗	U+6117	mào	mòu	kMandarin17 retained
愙	U+6119	kè	kè què	kMandarin17 retained
愞	U+611E	nuò	nuò rú	kMandarin17 retained
感	U+611F	gǎn	gǎn hàn	kMandarin17 retained
愡	U+6121	zǒng	nǎo zǒng	kMandarin17 retained
愢	U+6122	sāi	xǐ sī sāi	kMandarin17 retained
愣	U+6123	lèng	lēng lèng	kMandarin17 retained
愰	U+6130	huàng	huǎng huàng	kMandarin17 retained
愸	U+6138	zhěng	zhěng yìn	kMandarin17 retained
愻	U+613B	xùn	sùn	kMandarin17 retained
愾	U+613E	kài	kài xì	kMandarin17 retained
慀	U+6140	xì	xì xié	kMandarin17 retained
慂	U+6142	yǒng	dòng tōng yú yǒng	kMandarin17 retained
慅	U+6145	sāo	cǎo sāo	kMandarin17 retained
慊	U+614A	qiàn	qiè qiàn	kMandarin17 retained
慌	U+614C	huāng	huāng huang	kMandarin17 retained
慐	U+6150	gong	gōng gòng hóng	kMandarin17 retained
慒	U+6152	cóng	zāo cóng	kMandarin17 retained
慓	U+6153	piāo	piào	kMandarin17 retained
慔	U+6154	mù	mò mù	kMandarin17 retained
慥	U+6165	zào	zào cào	kMandarin17 retained
慨	U+6168	kǎi	kǎi kài	kMandarin17 retained
慩	U+6169	lián	lián liǎn	kMandarin17 retained
慪	U+616A	òu	ōu òu	kMandarin17 retained
慯	U+616F	shāng	shāng shàng	kMandarin17 retained
慴	U+6174	shè	zhé	kMandarin17 retained
慵	U+6175	yōng	yōng yóng	kMandarin17 retained
慷	U+6177	kāng	kāng kǎng	kMandarin17 retained
慸	U+6178	dì	dì dié chì chài	kMandarin17 retained
慺	U+617A	lóu	lóu lǚ	kMandarin17 retained
憁	U+6181	còng	zǒng	kMandarin17 retained
憅	U+6185	tòng	dòng tòng	kMandarin17 retained
憆	U+6186	chēng	táng chēng	kMandarin17 retained
憇	U+6187	qì	qì xí	kMandarin17 retained
憌	U+618C	qióng	chún	kMandarin17 retained
憍	U+618D	jiāo	jiāo qiáo	kMandarin17 retained
憕	U+6195	chéng	dèng zhèng chéng	kMandarin17 retained
憗	U+6197	yìn	zhěng yìn	kMandarin17 retained
憘	U+6198	xǐ	xǐ xì	kMandarin17 retained
憙	U+6199	xǐ	xǐ xì	kMandarin17 retained
憞	U+619E	duì	duì dūn	kMandarin17 retained
憪	U+61AA	xián	xián xiàn	kMandarin17 retained
憭	U+61AD	liǎo	liáo liǎo	kMandarin17 retained
憷	U+61B7	chù	chǔ chù	kMandarin17 retained
憹	U+61B9	náo	náo nǎo nóng	kMandarin17 retained
憿	U+61BF	jiǎo	jī jiāo jiǎo	kMandarin17 retained
懁	U+61C1	xuān	huán xuān	kMandarin17 retained
懄	U+61C4	qín	jǐn qín	kMandarin17 retained
應	U+61C9	yīng	yīng yìng	kMandarin17 retained
懋	U+61CB	mào	mào mòu	kMandarin17 retained
懔	U+61D4	lǐn	lǎn lǐn	kMandarin17 retained
懕	U+61D5	yān	yān yàn	kMandarin17 retained
懖	U+61D6	kuò	guā	kMandarin17 retained
懙	U+61D9	yǔ	yú yǔ	kMandarin17 retained
懜	U+61DC	měng	méng měng mèng	kMandarin17 retained
懝	U+61DD	ài	nì ài	kMandarin17 retained
懞	U+61DE	méng	méng měng	kMandarin17 retained
懢	U+61E2	lán	lán xiàn	kMandarin17 retained
懬	U+61EC	kuàng	kuǎng	kMandarin17 retained
懳	U+61F3	hui	huì	kMandarin17 retained
懵	U+61F5	měng	méng měng	kMandarin17 retained
懶	U+61F6	lǎn	lài lǎn	kMandarin17 retained
懾	U+61FE	shè	zhé shè	kMandarin17 retained
戂	U+6202	mí	mó mí	kMandarin17 retained
戅	U+6205	gàng	gàng zhuàng	kMandarin17 retained
戆	U+6206	gàng	gàng zhuàng	kMandarin17 retained
戇	U+6207	zhuàng	gàng zhuàng	kMandarin17 retained
戏	U+620F	xì	hū huī xì	kMandarin17 retained
我	U+6211	wǒ	ě wǒ	kMandarin17 retained
戕	U+6215	qiāng	qiáng zāng	kMandarin17 retained
戚	U+621A	qī	qī cù	kMandarin17 retained
戝	U+621D	zéi	zé zéi	kMandarin17 retained
戞	U+621E	jiá	gā jiá	kMandarin17 retained
戠	U+6220	zhī	zhí chì shì	kMandarin17 retained
戧	U+6227	qiāng	qiāng qiàng	kMandarin17 retained
戬	U+622C	jiǎn	jiǎn jìn	kMandarin17 retained
戭	U+622D	yǎn	yǎn yǐn	kMandarin17 retained
戯	U+622F	hū	hū huī xì	kMandarin17 retained
戱	U+6231	xì	hū huī xì	kMandarin17 retained
戲	U+6232	xì	hū huī xì	kMandarin17 retained
戹	U+6239	è	è ài	kMandarin17 retained
戺	U+623A	shì	mén shì yí	kMandarin17 retained
扁	U+6241	biǎn	biǎn piān	kMandarin17 retained
扃	U+6243	jiōng	jiōng jiǒng	kMandarin17 retained
扄	U+6244	shǎng	jiōng shǎng	kMandarin17 retained
扇	U+6247	shàn	shān shàn	kMandarin17 retained
扌	U+624C	shou	shǒu	kMandarin17 retained
扎	U+624E	zhā	zhā zhá zhǎ	kMandarin17 retained
扒	U+6252	bā	bā bié pá	kMandarin17 retained
打	U+6253	dǎ	dá dǎ	kMandarin17 retained
扔	U+6254	rēng	rēng réng rěng rèng	kMandarin17 retained
扗	U+6257	zài	zhuàng zài	kMandarin17 retained
扛	U+625B	káng	gāng káng	kMandarin17 retained
扝	U+625D	kū	kū xū wū yū	kMandarin17 retained
扠	U+6260	chā	zhǎ chā	kMandarin17 retained
扡	U+6261	tuō	tuō zhǎ chǐ chā chuāi yǐ	kMandarin17 retained
扢	U+6262	gǔ	xì	kMandarin17 retained
扥	U+6265	dèn	dèn dùn	kMandarin17 retained
扩	U+6269	kuò	tǎng kuò	kMandarin17 retained
扫	U+626B	sǎo	sǎo sào	kMandarin17 retained
扮	U+626E	bàn	bàn fěn	kMandarin17 retained
扰	U+6270	rǎo	rǎo yòu	kMandarin17 retained
扲	U+6272	qián	qián qín chī	kMandarin17 retained
扳	U+6273	bān	bān pān	kMandarin17 retained
扵	U+6275	yú	wū yú	kMandarin17 retained
扸	U+6278	xī	xī zhē zhé shé	kMandarin17 retained
扻	U+627B	zhì	kǎn jié zì sǔn	kMandarin17 retained
扽	U+627D	dèn	dùn	kMandarin17 retained
抅	U+6285	jū	jū jú	kMandarin17 retained
抆	U+6286	wěn	wèn	kMandarin17 retained
把	U+628A	bǎ	bǎ bà bǎi	kMandarin17 retained
