character	code_point	kMandarin17	CNS11643	policy
𣄻	U+2313B	zhuō	zhuō zhuó	kMandarin17 retained
𣅍	U+2314D	miàn	biàn bīng	kMandarin17 retained
𣅚	U+2315A	nà	nà niǔ	kMandarin17 retained
𣅝	U+2315D	tū	tú	kMandarin17 retained
𣅻	U+2317B	guǎ	jiōng	kMandarin17 retained
𣅾	U+2317E	xī	cè	kMandarin17 retained
𣆔	U+23194	zhòu	zhōu	kMandarin17 retained
𣆚	U+2319A	nuǒ	nuǒ chǐ	kMandarin17 retained
𣆛	U+2319B	àn	ǎn àn wǎn	kMandarin17 retained
𣆟	U+2319F	xiē	jiē xiē	kMandarin17 retained
𣆵	U+231B5	fú	bū fú	kMandarin17 retained
𣇢	U+231E2	biē	biè	kMandarin17 retained
𣇨	U+231E8	dài	tài	kMandarin17 retained
𣇬	U+231EC	qióng	qiòng	kMandarin17 retained
𣇳	U+231F3	jī	jī qī qí	kMandarin17 retained
𣈍	U+2320D	dié	dá dié	kMandarin17 retained
𣈶	U+23236	gèng	gèng xuān xuǎn	kMandarin17 retained
𣉖	U+23256	xuǎn	xuān xuǎn	kMandarin17 retained
𣉾	U+2327E	òu	ōu òu	kMandarin17 retained
𣊃	U+23283	mào	mào mòu	kMandarin17 retained
𣊧	U+232A7	lǎng	lǎng zhào	kMandarin17 retained
𣋉	U+232C9	yù	ào yù	kMandarin17 retained
𣋳	U+232F3	piǎo	bào pù	kMandarin17 retained
𣋵	U+232F5	bó	bō	kMandarin17 retained
𣋶	U+232F6	qióng	qiōng	kMandarin17 retained
𣌟	U+2331F	líng	līng líng	kMandarin17 retained
𣌭	U+2332D	hui	dā dá guì kuài huǐ huì	kMandarin17 retained
𣍟	U+2335F	kěn	kěn wěi	kMandarin17 retained
𣍧	U+23367	fěi	pèi fěi kū shuò	kMandarin17 retained
𣍰	U+23370	qiǎn	jiá xié	kMandarin17 retained
𣍺	U+2337A	pěi	bǎi	kMandarin17 retained
